AssessmentId,AssessmentName,AssessmentSubject,AssessmentGrade,AssessmentType,AssessmentSubtype,AssessmentLabel,AssessmentVersion,AcademicYear,FullItemKey,BankKey,ItemId,Filename,Version,ItemType,Grade,Standard,Claim,Target,PassageId,ASL,Braille,LanguageBraille,DOK,Language,AllowCalculator,MathematicalPractice,MaxPoints,Glossary,ScoringEngine,Spanish,IsFieldTest,IsActive,ResponseRequired,AdminRequired,ItemPosition,MeasurementModel,Weight,ScorePoints,a,b0_b,b1_c,b2,b3,avg_b,bpref1,bpref2,bpref3,bpref4,bpref5,bpref6,bpref7,CommonCore,ClaimContentTarget,SecondaryCommonCore,SecondaryClaimContentTarget,CutPoint1,ScaledLow1,ScaledHigh1,CutPoint2,ScaledLow2,ScaledHigh2,CutPoint3,ScaledLow3,ScaledHigh3,CutPoint4,ScaledLow4,ScaledHigh4
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-27729,200,27729,item-200-27729.xml,7994,HTQ,11,SBAC-ELA-v1:1-IT|11-11,"1-IT	","11-11	",200-91,,,ENU-Braille,3,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,FALSE,FALSE,27,IRT3PLn,1,1,0.32651,2.0687,0,,,2.0687,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-1-IT|11-11,,,,,,1-IT|11-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29723,200,29723,item-200-29723.xml,7994,MC,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-797,,,ENU-Braille,3,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,18,IRT3PLn,1,1,0.50327,0.12959,0,,,0.12959,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.3	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29725,200,29725,item-200-29725.xml,7994,MS,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-797,,,ENU-Braille,2,ENU,,,1,,Automatic with Key(s),,FALSE,TRUE,FALSE,FALSE,17,IRT3PLn,1,1,0.54944,2.41476,0,,,2.41476,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.3	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29727,200,29727,item-200-29727.xml,7994,MC,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-797,,,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,19,IRT3PLn,1,1,0.59259,-1.23372,0,,,-1.23372,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.3	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29875,200,29875,item-200-29875.xml,7994,MS,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-808,,,ENU-Braille,3,ENU,,,1,,Automatic with Key(s),,FALSE,TRUE,FALSE,FALSE,20,IRT3PLn,1,1,0.45847,1.52532,0,,,1.52532,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.3	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29877,200,29877,item-200-29877.xml,7994,MI,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-808,,,ENU-Braille,1,ENU,,,1,,Automatic with Machine Rubric,,FALSE,TRUE,FALSE,FALSE,22,IRT3PLn,1,1,0.56405,-0.07448,0,,,-0.07448,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.3	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29879,200,29879,item-200-29879.xml,7994,MC,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-808,,,ENU-Braille,3,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,21,IRT3PLn,1,1,0.56237,0.32202,0,,,0.32202,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.2	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29923,200,29923,item-200-29923.xml,7994,MC,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-816,,,ENU-Braille,2,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,10,IRT3PLn,1,1,0.42555,0.34189,0,,,0.34189,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.3	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29927,200,29927,item-200-29927.xml,7994,MC,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-816,,,ENU-Braille,3,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,9,IRT3PLn,1,1,0.51581,0.25174,0,,,0.25174,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.2	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-Winter-2014-2015,SBAC-ICA-FIXED-G11E-COMBINED,ELA,11,interim,ICA,ELA G11 ICA,8042,2015,200-29929,200,29929,item-200-29929.xml,7994,MC,11,SBAC-ELA-v1:3-L|4-11,"3-L	","4-11	",200-816,,,ENU-Braille,1,ENU,,,1,,Automatic with Key,,FALSE,TRUE,FALSE,FALSE,8,IRT3PLn,1,1,0.33562,-0.74449,0,,,-0.74449,(SBAC)SBAC-ICA-FIXED-G11E-COMBINED-ELA-11-Winter-2014-2015,,SBAC-3-L|4-11,,,,,"11-12.SL.3	",3-L|4-11,,,1,2.30E+03,2.49E+03,2,2.49E+03,2.58E+03,3,2.58E+03,2.68E+03,4,2.68E+03,2.80E+03
